SQ1,SQ2,SQ_RESULTS,gender,age,A3. 최근(2016년 1월 이후) 주중(월~금)동안 하루에 MMORPG를 평균 어느 정도 이용하십니까?,A4. 최근(2016년 1월 이후) 주말(토/일)동안 하루에 MMORPG를 평균 어느 정도 이용하십니까?,A5. 최근(2016년 1월 이후) 이용한 MMORPG 게임의 종류는 모두 몇 개입니까?,A6. MMORPG 게임 하나를 즐기는 기간은 어느 정도 입니까?(더 이상 플레이 하지 않을 때까지 지속되는 기간),"A7. MMORPG 게임의 내부 커뮤니티(예, 길드, 클랜)를 이용하십니까?","A8. 인터넷 게임 커뮤니티(예, 게임에 대한 정보를 얻을 수 있는 카페, 페이스북, 밴드)를 이용하십니까",A9. MMORPG의 확률형 아이템을 구매할 의사가 있으십니까?,A10. 최근(2016년 1월 이후) 인터넷 게임에 투자한 금액은 매달 어느 정도 되십니까?,A11. 최근(2016년 1월 이후) 가장 많이 이용한 MMORPG 게임 이름은 무엇인가요?,MOT1,MOT2,MOT3,MOT4,MOT5,MOT6,MOT7,MOT8,MOT9,MOT10,MOT11,MOT12,MOT13,MOT14,MOT15,MOT16,MOT17,MOT18,MOT19,MOT20,MOT21,MOT22,MOT23,MOT24,MOT25,BHV1,BHV2,BHV3,BHV4,BHV5,BHV6,BHV7,BHV8,BHV9,BHV10,BHV11,B11(reverse),BHV12,BHV13,BHV14,BHV15,BHV16,BHV17,BHV18,BHV19,BHV20,BHV21,BHV22,BHV23,BHV24,BHV25,BHV26,BHV27,BHV28,BHV29,BHV30,BHV31,BHV32,IGD1,IGD2,IGD3,IGD4,IGD5,IGD6,IGD7,IGD8,IGD9,IGD10,IGD11,IGD12,IGD13,IGD14,IGD15,IGD16,IGD17,IGD18,IGD19,IGD20,IGD21,IGD22,IGD23,IGD24,IGD25,IGD26
예,예,TRUE,1,23,안한다,30분 이상 ~ 1시간 미만,1개,1개월 미만,이용하지 않는다,이용하지 않는다,"과거에 구매한 경험이 없으며, 앞으로도 구매할 의사가 없다",사용한 적 없다,트리오브세이비어,1,2,4,4,2,4,5,4,2,1,2,3,4,4,1,5,5,2,1,1,2,4,2,2,1,6,1,5,7,1,7,1,1,2,1,5,3,6,7,1,5,3,1,5,5,7,5,2,1,1,1,3,1,5,7,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
예,예,TRUE,2,26,1시간 이상 ~ 2시간 미만,안한다,1개,1개월 ~ 3개월 미만,이용하지 않는다,오로지 게임과 관련된 정보를 주고 받는 용도로만 이용한다,"확률형 아이템을 구매할 의사는 있지만, 이를 위해 돈(혹은 문화상품권)을 쓰지는 않을 것이다",사용한 적 없다,트리오브세이비어,3,1,5,4,4,5,4,4,4,5,1,4,3,4,2,4,4,5,2,5,3,1,2,1,1,7,2,5,2,4,6,2,7,2,5,7,1,2,5,1,6,2,1,3,1,7,1,3,1,1,1,6,1,2,7,5,4,1,1,1,2,2,3,1,1,3,1,1,1,1,3,2,2,1,1,1,1,1,1,4,3,1,1,1
예,예,TRUE,1,25,4시간 이상 ~ 5시간 미만,5시간 이상 ~ 6시간 미만,2~3개,2년 이상,이용하지만 커뮤니티 활동에 참여하지는 않는다(출석체크만 하는 정도이다),오로지 게임과 관련된 정보를 주고 받는 용도로만 이용한다,돈(혹은 문화상품권)을 써서라도 확률형 아이템을 구매할 의사가 있다.,5천원 미만,디아블로3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,2,5,5,5,3,5,3,2,7,5,2,6,1,7,5,2,7,1,1,2,1,2,7,5,4,2,7,7,4,2,2,1,1,1,1,7,5,3,1,2,2,2,2,3,1,2,2,1,3,2,3,3,2,4,1,2,2,2,2,2,4,3,2,3,2
예,예,TRUE,1,27,1시간 이상 ~ 2시간 미만,2시간 이상 ~ 3시간 미만,2~3개,1개월 미만,이용하지만 커뮤니티 활동에 참여하지는 않는다(출석체크만 하는 정도이다),오로지 게임과 관련된 정보를 주고 받는 용도로만 이용한다,돈(혹은 문화상품권)을 써서라도 확률형 아이템을 구매할 의사가 있다.,5천원 이상 ~ 만원 미만,테라,5,4,1,1,2,4,5,4,2,5,2,3,5,5,5,5,1,4,5,4,2,4,1,1,4,6,2,5,5,5,2,7,6,7,5,7,1,2,7,3,5,5,2,5,5,7,2,3,2,2,2,7,7,6,7,3,2,1,1,1,3,1,3,1,4,3,1,3,3,2,2,1,4,1,1,1,1,1,1,3,2,1,1,1
예,예,TRUE,1,24,4시간 이상 ~ 5시간 미만,4시간 이상 ~ 5시간 미만,1개,1개월 ~ 3개월 미만,"커뮤티니 활동에 소극적으로 참여한다(커뮤니티 활동(예, 회의, 길드전)에 가끔씩 참여한다",오로지 게임과 관련된 정보를 주고 받는 용도로만 이용한다,"확률형 아이템을 구매할 의사는 있지만, 이를 위해 돈(혹은 문화상품권)을 쓰지는 않을 것이다",사용한 적 없다,던전앤파이터,1,1,3,4,1,3,2,4,1,1,1,5,3,2,1,3,2,2,1,1,4,1,1,1,3,1,4,5,6,3,1,1,4,3,2,5,3,2,4,4,1,4,2,4,1,6,1,1,1,5,1,1,1,4,6,1,1,1,4,3,3,3,3,4,1,3,1,1,1,1,3,2,1,1,3,3,1,1,1,4,3,3,3,2
예,예,TRUE,1,24,1시간 이상 ~ 2시간 미만,1시간 이상 ~ 2시간 미만,2~3개,1개월 ~ 3개월 미만,이용하지 않는다,이용하지 않는다,"확률형 아이템을 구매할 의사는 있지만, 이를 위해 돈(혹은 문화상품권)을 쓰지는 않을 것이다",5천원 이상 ~ 만원 미만,메이플스토리,1,1,5,2,3,4,5,2,4,4,2,4,4,3,4,4,3,4,1,2,1,1,1,3,3,4,2,5,2,5,5,1,6,5,5,6,2,3,5,2,5,3,3,3,2,6,2,2,2,2,3,3,4,2,6,5,4,2,2,2,3,2,2,1,1,1,1,3,1,1,1,1,2,2,1,1,1,1,1,3,3,2,2,2
예,예,TRUE,2,23,1시간 이상 ~ 2시간 미만,2시간 이상 ~ 3시간 미만,1개,6개월 ~ 1년 미만,이용하지 않는다,오로지 게임과 관련된 정보를 주고 받는 용도로만 이용한다,"과거에 구매한 경험이 없으며, 앞으로도 구매할 의사가 없다",사용한 적 없다,메이플스토리,2,2,5,3,2,2,4,2,2,4,2,4,5,4,4,4,2,4,4,2,2,4,2,2,2,2,2,6,5,2,3,2,6,2,2,7,1,3,5,2,2,2,6,2,6,7,4,2,2,2,2,2,2,2,7,7,2,2,2,2,2,2,3,2,2,2,3,2,2,2,4,2,4,2,2,4,2,2,2,4,4,2,3,2
예,예,TRUE,2,26,2시간 이상 ~ 3시간 미만,2시간 이상 ~ 3시간 미만,1개,1개월 ~ 3개월 미만,이용하지만 커뮤니티 활동에 참여하지는 않는다(출석체크만 하는 정도이다),"게임과 관련된 정보 획득 및 전달을 포함하여, 다른 커뮤니티 활동(예, 친목 쌓기)에 적극적으로 참여한다","확률형 아이템을 구매할 의사는 있지만, 이를 위해 돈(혹은 문화상품권)을 쓰지는 않을 것이다",5천원 이상 ~ 만원 미만,메이플스토리,3,3,2,5,3,2,4,3,4,2,2,3,4,4,3,4,3,4,3,2,3,3,3,2,2,4,2,4,2,3,2,4,3,2,4,2,6,4,3,4,3,3,2,3,3,2,4,2,3,2,3,4,2,3,2,4,2,4,4,2,2,3,2,3,2,2,3,2,2,3,1,3,2,4,1,3,2,3,2,3,2,3,2,2
예,예,TRUE,1,25,4시간 이상 ~ 5시간 미만,5시간 이상 ~ 6시간 미만,4~6개,6개월 ~ 1년 미만,"커뮤니티 활동에 적극적으로 참여한다(거의 매일 커뮤니티 활동(예, 길드전, 회의)에 참여한다)",오로지 게임과 관련된 정보를 주고 받는 용도로만 이용한다,돈(혹은 문화상품권)을 써서라도 확률형 아이템을 구매할 의사가 있다.,2만원 이상~ 4만원 미만,오더앤 카오스,3,4,3,4,5,4,5,4,4,4,4,4,5,5,5,4,4,5,5,4,5,4,5,5,5,5,5,5,6,5,5,5,4,5,5,3,5,5,6,5,5,5,4,5,5,5,4,5,4,5,4,5,4,5,4,4,4,4,4,4,3,4,3,3,3,3,3,3,4,4,4,4,4,3,4,4,3,3,3,4,3,4,3,4
예,예,TRUE,2,26,4시간 이상 ~ 5시간 미만,5시간 이상 ~ 6시간 미만,10개 이상,6개월 ~ 1년 미만,"커뮤니티 활동에 적극적으로 참여한다(거의 매일 커뮤니티 활동(예, 길드전, 회의)에 참여한다)","게임과 관련된 정보 획득 및 전달을 포함하여, 다른 커뮤니티 활동(예, 친목 쌓기)에 적극적으로 참여한다",돈(혹은 문화상품권)을 써서라도 확률형 아이템을 구매할 의사가 있다.,8만원 이상,크래셔 전투의신,4,5,5,4,5,5,4,4,5,4,3,5,4,4,5,3,4,4,5,3,5,5,5,4,4,6,5,5,5,5,4,6,6,6,6,6,2,6,5,5,5,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,4
